Periodo,Temperatura,Precipitacion
abr-06,23.5,10.2
may-06,24.3,48.9
jun-06,25,104.9
jul-06,24.8,149.7
ago-06,24.5,159.6
sep-06,23.9,147.3
oct-06,22.6,88.2
nov-06,19.5,30.5
dic-06,17.2,32.4
ene-07,17.1,36
feb-07,18.4,21.2
mar-07,20.8,10.2
abr-07,22.6,16
may-07,24.2,38.8
jun-07,25.6,96.4
jul-07,24.9,149.7
ago-07,25.6,179.4
sep-07,24.5,146.2
oct-07,21.4,79.3
nov-07,18.9,23.9
dic-07,17.4,15.1
ene-08,15.6,21.2
feb-08,18.3,13.2
mar-08,19.1,7.9
abr-08,22.7,19.7
may-08,24.5,39.5
jun-08,26,125.4
jul-08,24.4,197.8
ago-08,25.2,188.4
sep-08,23.8,188.2
oct-08,21.7,78.2
nov-08,18.6,10.1
dic-08,16.5,11.1
ene-09,16.5,13.5
feb-09,18.1,11.5
mar-09,20.1,8.3
abr-09,22.4,8.3
may-09,25.1,46.7
jun-09,26.1,105.7
jul-09,25.4,101.3
ago-09,26.3,121.4
sep-09,24.7,153.4
oct-09,22.4,89.2
nov-09,18.5,37.2
dic-09,16.1,26.9
ene-10,14.8,40.1
feb-10,15,54.7
mar-10,18.2,7.1
abr-10,21.7,40.2
may-10,24.4,35.3
jun-10,26.3,109.2
jul-10,25.2,244.2
ago-10,25.7,194.6
sep-10,24.7,197
oct-10,21.8,17.8
nov-10,18.4,15.2
dic-10,16.1,6.7
ene-11,15.9,16.5
feb-11,17.2,10.1
mar-11,21,11.8
abr-11,23.7,8.5
may-11,25.2,18.8
jun-11,25.9,105.1
jul-11,25.8,180.4
ago-11,25.7,133.8
sep-11,24.9,99.7
oct-11,22,65.3
nov-11,18.5,30.7
dic-11,16.3,16.5
ene-12,16.6,18.6
feb-12,17.3,30.8
mar-12,19.9,14
abr-12,22.5,22.1
may-12,24.8,39.4
jun-12,26,104.3
jul-12,25.4,129.6
ago-12,25.9,164.8
sep-12,24.4,126.1
oct-12,22.8,52
nov-12,19.4,22.4
dic-12,17.4,18.2
ene-13,16.1,26.4
feb-13,18.2,6.4
mar-13,19.9,7.1
abr-13,22.6,9
may-13,24.6,43.9
jun-13,26.8,103.2
jul-13,25.9,152.6
ago-13,26,135.8
sep-13,24.7,227.3
oct-13,22.7,77.6
nov-13,19.2,76.2
dic-13,16.5,55.1
ene-14,16.1,16.9
feb-14,18.8,6
mar-14,20.4,14.3
abr-14,22.9,13.8
may-14,24.3,67.8
jun-14,26.6,124.2
jul-14,26,111.9
ago-14,25.9,134.3
sep-14,25.1,190.9
oct-14,23.3,91.8
nov-14,18.8,42.6
dic-14,17.2,16.3
ene-15,16.2,37.5
feb-15,17.8,27.2
mar-15,19.4,69.6
abr-15,23.3,27.4
may-15,23.9,53.7
jun-15,25.7,119.2
jul-15,25.9,110.3
ago-15,26.4,107.7
sep-15,25.4,132.7
oct-15,23.3,110.6
nov-15,20.3,50.2
dic-15,17.3,25.9
ene-16,15.8,20.1
feb-16,18.5,7.4
mar-16,20.9,28.6
abr-16,23,17.1
may-16,25.1,37.2
jun-16,26.3,110.8
jul-16,26.8,125.9
ago-16,25.8,172.1
sep-16,25,128.8
oct-16,23.6,38.9
nov-16,20.2,31
dic-16,18.2,26.2
ene-17,17.4,14.6
feb-17,19.2,12.7
mar-17,21.3,16.6
abr-17,23.1,18.5
may-17,25.1,48.1
jun-17,26.8,102.7
jul-17,26.1,140.9
ago-17,26.2,145.9
sep-17,24.9,169.8
oct-17,23,77
nov-17,20.5,10.7
dic-17,17,24.4
ene-18,16,25.7
feb-18,19.3,17.6
mar-18,21.2,9.1
abr-18,22.9,28.3
may-18,25.4,39
jun-18,26.4,121.5
jul-18,26.5,83.8
ago-18,26.1,139.1
sep-18,25,166
oct-18,22.55,110.7
nov-18,18.7,39.6
dic-18,16.5,23.4
ene-19,16.6,19
feb-19,18.7,13.7
mar-19,20.5,16.2
abr-19,22.6,6.6
may-19,24.8,31.8
jun-19,26.7,86.2
jul-19,26.5,97.6
ago-19,27,110.8
sep-19,25.2,144.4
oct-19,23,100.1
nov-19,20,68.5
dic-19,17.1,23.5
ene-20,16.9,21.6
feb-20,18,22.7
mar-20,21.3,21
abr-20,23.6,14
may-20,25.2,53.9
jun-20,26.3,108.7
jul-20,26.7,120.9
ago-20,26.6,122.3
sep-20,24.9,128.2
oct-20,23.1,55.5
nov-20,20.4,36.6
dic-20,16.3,17
ene-21,16.4,23.7
feb-21,18,7.9
mar-21,20.3,8.4
abr-21,23,11
may-21,24.8,51.3
jun-21,26,137.5
jul-21,25.7,128.8
ago-21,25.8,157
sep-21,25,133
oct-21,23.1,67.4
nov-21,19.8,23.2
dic-21,18.7,20.4
ene-22,16.6,17
feb-22,17,16.4
mar-22,19.8,7.1
abr-22,23.4,20
may-22,25.7,30.3
jun-22,26.4,106.4
jul-22,26.6,109.1
ago-22,25.9,171.5
sep-22,24.5,154.9
oct-22,22.1,63.4
nov-22,19.1,29.9
