Población,Grupo_A,Grupo_AB,Grupo_B,Grupo_O
Francesa,0.21,0.06,0.06,0.67
Checa,0.25,0.04,0.14,0.57
Germanica,0.22,0.06,0.08,0.64
Vasca,0.19,0.04,0.02,0.75
China,0.18,0,0.15,0.67
Ainu,0.23,0,0.28,0.49
Esquimal,0.3,0,0.06,0.64
Afromericana USA,0.1,0.06,0.13,0.71
Española,0.27,0.04,0.06,0.63
Egipcia,0.21,0.05,0.2,0.54
